Key,count,percentage
无位置信息,3176,16.24
广东,2853,14.59
北京,1492,7.63
浙江,950,4.86
江苏,934,4.78
河南,857,4.38
山东,822,4.2
上海,778,3.98
四川,667,3.41
福建,561,2.87
湖北,557,2.85
湖南,552,2.82
河北,510,2.61
中国香港,497,2.54
陕西,427,2.18
安徽,379,1.94
广西,366,1.87
辽宁,354,1.81
江西,336,1.72
重庆,303,1.55
天津,287,1.47
山西,219,1.12
云南,175,0.9
吉林,158,0.81
贵州,154,0.79
黑龙江,139,0.71
海南,131,0.67
内蒙古,120,0.61
甘肃,108,0.55
美国,81,0.41
新疆,80,0.41
中国台湾,60,0.31
日本,58,0.3
宁夏,47,0.24
英国,44,0.23
澳大利亚,39,0.2
加拿大,39,0.2
新加坡,28,0.14
马来西亚,28,0.14
中国,24,0.12
荷兰,23,0.12
中国澳门,20,0.1
德国,19,0.1
青海,17,0.09
韩国,11,0.06
意大利,9,0.05
法国,8,0.04
泰国,8,0.04
西班牙,7,0.04
西藏,3,0.02
比利时,3,0.02
俄罗斯,3,0.02
葡萄牙,2,0.01
匈牙利,2,0.01
柬埔寨,2,0.01
菲律宾,2,0.01
阿根廷,2,0.01
新西兰,2,0.01
印度尼西亚,2,0.01
埃塞俄比亚,1,0.01
巴西,1,0.01
安哥拉,1,0.01
智利,1,0.01
芬兰,1,0.01
阿联酋,1,0.01
哈萨克斯坦,1,0.01
哥斯达黎加,1,0.01
关岛,1,0.01
瑞士,1,0.01
南非,1,0.01
莫桑比克,1,0.01
格鲁吉亚,1,0.01
越南,1,0.01
尼日利亚,1,0.01
挪威,1,0.01
奥地利,1,0.01
