time,人遇难,祈祷,quot,香港火灾,香港大火,香港火灾已致,人死亡,日下午,人受伤,截至,香港,mama
2025-11-26,141,555.0,190.0,1160,63,153.0,568,250,358.0,127,131,101.0
2025-11-27,2658,960.0,884.0,659,570,1150.0,649,673,669.0,484,566,581.0
2025-11-28,1150,471.0,264.0,21,136,10.0,88,205,111.0,295,65,125.0
2025-11-29,421,219.0,258.0,20,242,1.0,77,81,80.0,53,82,117.0
2025-11-30,327,85.0,183.0,33,142,164.0,38,52,51.0,55,51,115.0
2025-12-01,323,72.0,68.0,13,300,139.0,29,105,42.0,91,39,25.0
2025-12-02,209,37.0,122.0,8,101,19.0,12,16,61.0,31,57,1.0
2025-12-03,60,20.0,6.0,5,28,7.0,6,6,1.0,8,29,
2025-12-04,34,2.0,26.0,6,44,4.0,11,5,3.0,11,28,9.0
2025-12-05,6,,,10,17,4.0,3,4,,2,26,
2025-12-06,2,2.0,16.0,9,15,,1,7,2.0,3,20,1.0
2025-12-07,1,,2.0,2,13,,1,2,,2,11,
2025-12-08,14,1.0,,1,10,,3,1,,1,5,1.0
2025-12-09,2,,,1,13,,4,3,1.0,2,8,
